open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume,ignore,datetime
1699142400000,35038.73,35377.11,34600.0,35024.18,154.72625,1699228799999,5417126.7867493,18585,80.58509,2823622.3750443,0,2023-11-05
1699228800000,35007.74,35278.0,34735.93,35042.52,227.77083,1699315199999,7978886.9744204,19452,113.64223,3982160.6976709,0,2023-11-06
1699315200000,35040.08,35700.0,34524.98,35385.6,287.00925,1699401599999,10058307.9931147,26771,143.4085,5036374.2802,0,2023-11-07
1699401600000,35405.58,35947.0,35103.03,35628.94,287.54097,1699487999999,10201583.4681025,25491,152.96403,5430347.7010134,0,2023-11-08
1699488000000,35628.93,37974.85,35550.0,36680.47,646.32063,1699574399999,23746905.4842483,54615,334.49645,12282672.6934242,0,2023-11-09
1699574400000,36701.93,37450.0,36400.01,37295.58,296.49994,1699660799999,10963902.6760061,29825,169.96059,6288714.4249366,0,2023-11-10
1699660800000,37278.23,37387.0,36728.06,37143.52,181.84587,1699747199999,6738615.1301134,17868,81.83026,3032701.902799,0,2023-11-11
1699747200000,37140.0,37199.0,36760.0,37085.2,105.9848,1699833599999,3927876.3753538,13084,57.67563,2137901.5592382,0,2023-11-12
1699833600000,37085.19,37399.0,36193.3,36466.15,257.17992,1699919999999,9468209.8919016,24711,105.52696,3888962.1075629,0,2023-11-13
1699920000000,36465.6,36744.96,35200.0,35557.53,296.88478,1700006399999,10701328.5198458,23161,137.20655,4950571.8584209,0,2023-11-14
1700006400000,35550.0,37850.0,35378.95,37846.08,321.64399,1700092799999,11759612.6333792,27779,198.41041,7253646.0922499,0,2023-11-15
1700092800000,37846.09,37850.0,35505.64,36209.38,355.45139,1700179199999,13050425.8470717,25503,137.77696,5064266.0974514,0,2023-11-16
1700179200000,36197.88,36699.0,35868.57,36566.73,255.38624,1700265599999,9285194.5952176,22053,137.09573,4987903.0263984,0,2023-11-17
1700265600000,36566.73,36765.65,36192.87,36568.81,98.56694,1700351999999,3597276.5589332,12492,54.72685,1997854.0676215,0,2023-11-18
1700352000000,36570.01,37429.55,36391.47,37352.05,181.97825,1700438399999,6698403.319519,13809,113.04442,4165715.0459169,0,2023-11-19
1700438400000,37357.64,37696.51,36704.26,37400.0,268.74155,1700524799999,10023828.2682444,31276,149.38454,5576629.4937868,0,2023-11-20
1700524800000,37400.01,37575.51,35755.0,35780.49,376.67386,1700611199999,13879076.1164998,30907,168.317,6220840.1501914,0,2023-11-21
1700611200000,35755.01,37740.0,35735.33,37360.0,367.60566,1700697599999,13533327.5724367,26809,214.70968,7911718.4620412,0,2023-11-22
1700697600000,37365.11,37649.99,36886.88,37290.14,171.55226,1700783999999,6392367.8178267,14255,92.71326,3458332.8035482,0,2023-11-23
1700784000000,37302.01,38404.2,37254.54,37716.86,285.51062,1700870399999,10790995.9848844,22712,165.95513,6270117.7284968,0,2023-11-24
1700870400000,37725.01,37888.0,37593.67,37794.42,81.81006,1700956799999,3088993.8018912,9196,38.2285,1443919.5820394,0,2023-11-25
1700956800000,37777.01,37821.55,37181.0,37450.0,138.10811,1701043199999,5182130.73119,13800,64.96558,2437999.2459979,0,2023-11-26
1701043200000,37450.0,37557.77,36720.09,37237.52,165.29516,1701129599999,6129394.4934297,14471,64.88401,2407920.9180751,0,2023-11-27
1701129600000,37251.95,38222.0,36875.0,37823.4,260.66305,1701215999999,9832371.349811,19422,166.47813,6284502.9961579,0,2023-11-28
1701216000000,37824.52,38432.91,37575.0,37861.76,224.76946,1701302399999,8523538.2804668,16966,112.07247,4255735.2111101,0,2023-11-29
1701302400000,37845.94,38141.87,37509.01,37730.97,185.0633,1701388799999,6988950.4430261,12366,84.05602,3176428.6935088,0,2023-11-30
1701388800000,37730.95,38976.67,37611.02,38688.5,305.46832,1701475199999,11734620.7915965,22236,182.08547,6991115.1426417,0,2023-12-01
1701475200000,38686.64,39699.95,38639.15,39453.91,167.97752,1701561599999,6565335.8598441,15157,93.17889,3642905.526846,0,2023-12-02
1701561600000,39471.72,40179.82,39277.33,40020.0,215.89243,1701647999999,8580546.8508808,17531,108.49021,4313940.6505122,0,2023-12-03
1701648000000,40019.99,42399.12,40000.0,41998.28,528.09176,1701734399999,21849009.7784699,43278,287.74505,11911337.2895447,0,2023-12-04
1701734400000,41980.02,44482.83,41420.69,44151.45,476.49982,1701820799999,20556567.312661,45871,266.27468,11490066.6736908,0,2023-12-05
1701820800000,44153.06,44278.84,43382.42,43779.58,327.97515,1701907199999,14396435.3509453,32968,122.533,5385520.7588888,0,2023-12-06
1701907200000,43779.59,44038.08,42961.77,43283.59,257.92184,1701993599999,11223173.3385568,25083,130.38854,5673689.0922815,0,2023-12-07
1701993600000,43284.97,44700.01,43082.72,44178.56,271.66113,1702079999999,11923404.9202316,26814,160.35278,7037145.4415506,0,2023-12-08
1702080000000,44154.13,44348.86,43600.32,43701.86,130.27304,1702166399999,5734444.4820726,16962,52.92263,2331184.3389288,0,2023-12-09
1702166400000,43727.71,44024.18,43600.02,43788.74,108.3228,1702252799999,4749246.5248278,12872,54.21872,2379124.4903895,0,2023-12-10
1702252800000,43777.37,43820.0,40232.18,41237.41,349.01806,1702339199999,14585737.3925823,30123,149.15945,6215066.4534164,0,2023-12-11
1702339200000,41237.41,42100.0,40679.77,41465.48,246.18935,1702425599999,10202314.1009247,20432,112.42212,4658985.1381312,0,2023-12-12
1702425600000,41494.58,43440.76,40647.38,42878.34,261.76573,1702511999999,10997334.4927541,21547,141.61528,5958444.2083414,0,2023-12-13
1702512000000,42890.31,43411.81,41503.81,43031.93,245.7777,1702598399999,10509178.4559621,21695,114.53724,4905738.6954805,0,2023-12-14
1702598400000,43021.33,43081.95,41684.56,41932.39,162.94656,1702684799999,6903049.4201399,15559,65.47254,2777495.0835166,0,2023-12-15
1702684800000,41938.42,42699.99,41624.6,42258.78,95.56071,1702771199999,4042660.8525605,9896,51.45724,2177660.6016071,0,2023-12-16
1702771200000,42258.94,42407.93,41281.8,41368.43,91.01864,1702857599999,3815753.0067117,11470,39.34849,1650617.4094815,0,2023-12-17
